Participant,Run,Epoch,Neurons_in_epoch,Points_generated_epoch,Points_collected_epoch,Collected_pct_epoch,Successes_epoch,Failures_epoch,Steps_epoch,Base_epoch,Forward_contrib_epoch,Targets_contrib_epoch,Penalty_epoch,Learning_increment_epoch,Targets_reached_epoch,Final Score
P1,1,1,3,60,54,90,2,1,9,0.01,0.05,0.15,0.01,0.2,3,
P1,1,2,2,40,27,67.5,2,0,6,0.01,0.1,0.15,0,0.26,3,
P1,1,3,3,60,44,73.3,2,1,5,0.01,0.05,0.15,0,0.21,3,
P1,2,1,3,60,48,80,2,1,7,0.01,0.05,0.15,0,0.21,3,
P1,2,2,3,60,46,76.7,2,1,5,0.01,0.05,0.15,0,0.21,3,
P2,1,1,3,60,48,80,2,1,7,0.01,0.05,0.15,0,0.21,3,
P2,1,2,3,60,31,51.7,1,2,5,0.01,-0.05,0.15,0,0.11,3,
P2,1,3,3,60,37,61.7,1,2,6,0.01,-0.05,0.15,0,0.11,3,
P2,2,1,3,60,54,90,3,0,5,0.01,0.15,0.15,0,0.31,3,
P2,2,2,3,60,33,55,2,1,4,0.01,0.05,0.15,0,0.21,3,
P2,2,3,3,60,48,80,2,1,4,0.01,0.05,0.15,0,0.21,3,
P3,1,1,3,60,54,90,3,0,8,0.01,0.15,0.15,0,0.31,3,
P3,1,2,3,60,39,65,3,0,9,0.01,0.15,0.15,0.01,0.3,3,
P3,1,3,2,40,27,67.5,2,0,6,0.01,0.1,0.15,0,0.26,3,
P3,1,4,3,60,42,70,2,1,5,0.01,0.05,0.15,0,0.21,3,
P3,2,1,3,60,54,90,3,0,7,0.01,0.15,0.15,0,0.31,3,
P3,2,2,3,60,42,70,3,0,5,0.01,0.15,0.15,0,0.31,3,
P3,2,3,3,60,48,80,2,1,8,0.01,0.05,0.15,0,0.21,3,
P4,1,1,3,60,33,55,1,2,9,0.01,-0.05,0.15,0.01,0.1,3,
P4,1,2,3,60,33,55,1,2,7,0.01,-0.05,0.15,0,0.11,3,
P4,1,3,3,60,33,55,1,2,8,0.01,-0.05,0.15,0,0.11,3,
P4,2,1,3,60,54,90,3,0,7,0.01,0.15,0.15,0,0.31,3,
P4,2,2,3,60,45,75,2,1,5,0.01,0.05,0.15,0,0.21,3,
P4,2,3,3,60,45,75,2,1,6,0.01,0.05,0.15,0,0.21,3,
P5,1,1,3,60,54,90,3,0,7,0.01,0.15,0.15,0,0.31,3,
P5,1,2,3,60,34,56.7,2,1,4,0.01,0.05,0.15,0,0.21,3,
P5,1,3,3,60,42,70,2,1,5,0.01,0.05,0.15,0,0.21,3,
P5,2,1,3,60,54,90,3,0,7,0.01,0.15,0.15,0,0.31,3,
P5,2,2,3,60,44,73.3,2,1,5,0.01,0.05,0.15,0,0.21,3,
P6,1,1,3,60,31,51.7,2,1,7,0.01,0.05,0.15,0,0.21,3,
P6,1,2,3,60,42,70,2,1,5,0.01,0.05,0.15,0,0.21,3,
P6,1,3,3,60,37,61.7,2,1,4,0.01,0.05,0.15,0,0.21,3,
P6,2,1,3,60,48,80,2,1,4,0.01,0.05,0.15,0,0.21,3,
P6,2,2,2,40,27,67.5,2,0,3,0.01,0.1,0.15,0,0.26,3,
P7,1,1,3,60,54,90,3,0,6,0.01,0.15,0.15,0,0.31,3,
P7,1,2,3,60,49,81.7,3,0,7,0.01,0.15,0.15,0,0.31,3,
P7,1,3,3,60,52,86.7,3,0,4,0.01,0.15,0.15,0,0.31,3,
P7,2,1,3,60,54,90,3,0,3,0.01,0.15,0.15,0,0.31,3,
P7,2,2,3,60,47,78.3,3,0,5,0.01,0.15,0.15,0,0.31,3,
P7,2,3,3,60,42,70,3,0,4,0.01,0.15,0.15,0,0.31,3,
P8,1,1,2,40,31,77.5,2,0,7,0.01,0.1,0.15,0,0.26,3,
P8,1,2,3,60,30,50,1,2,8,0.01,-0.05,0.15,0,0.11,3,
P8,1,3,3,60,30,50,1,2,4,0.01,-0.05,0.15,0,0.11,3,
P8,2,1,3,60,48,80,2,1,4,0.01,0.05,0.15,0,0.21,3,
P8,2,2,3,60,30,50,1,2,4,0.01,-0.05,0.15,0,0.11,3,
P8,2,3,3,60,37,61.7,1,2,3,0.01,-0.05,0.15,0,0.11,3,
P9,1,1,3,60,45,75,2,1,13,0.01,0.05,0.15,0.02,0.19,3,
P9,1,2,3,60,42,70,2,1,7,0.01,0.05,0.15,0,0.21,3,
P9,1,3,3,60,30,50,1,2,8,0.01,-0.05,0.15,0,0.11,3,
P9,2,1,3,60,42,70,2,1,3,0.01,0.05,0.15,0,0.21,3,
P9,2,2,3,60,47,78.3,2,1,3,0.01,0.05,0.15,0,0.21,3,
P9,2,3,3,60,52,86.7,2,1,4,0.01,0.05,0.15,0,0.21,3,
P10,1,1,3,60,45,75,2,1,8,0.01,0.05,0.15,0,0.21,3,
P10,1,2,3,60,45,75,2,1,5,0.01,0.05,0.15,0,0.21,3,
P10,1,3,3,60,45,75,2,1,4,0.01,0.05,0.15,0,0.21,3,
P10,2,1,3,60,54,90,3,0,4,0.01,0.15,0.15,0,0.31,3,
P10,2,2,2,40,31,77.5,2,0,5,0.01,0.1,0.15,0,0.26,3,
P10,2,3,3,60,44,73.3,3,0,4,0.01,0.15,0.15,0,0.31,3,
P10,2,4,2,40,27,67.5,2,0,4,0.01,0.1,0.15,0,0.26,3,
