Participant,Run,First_Points,Last_Points,First_Steps,Last_Steps,First_Inc,Last_Inc,Points_Improved,Steps_Reduced,Inc_Improved
P1,1,54,44,9,5,0.2,0.21,0,1,1
P1,2,48,46,7,5,0.21,0.21,0,1,0
P10,1,45,45,8,4,0.21,0.21,0,1,0
P10,2,54,27,4,4,0.31,0.26,0,0,0
P2,1,48,37,7,6,0.21,0.11,0,1,0
P2,2,54,48,5,4,0.31,0.21,0,1,0
P3,1,54,42,8,5,0.31,0.21,0,1,0
P3,2,54,48,7,8,0.31,0.21,0,0,0
P4,1,33,33,9,8,0.1,0.11,0,1,1
P4,2,54,45,7,6,0.31,0.21,0,1,0
P5,1,54,42,7,5,0.31,0.21,0,1,0
P5,2,54,44,7,5,0.31,0.21,0,1,0
P6,1,31,37,7,4,0.21,0.21,1,1,0
P6,2,48,27,4,3,0.21,0.26,0,1,1
P7,1,54,52,6,4,0.31,0.31,0,1,0
P7,2,54,42,3,4,0.31,0.31,0,0,0
P8,1,31,30,7,4,0.26,0.11,0,1,0
P8,2,48,37,4,3,0.21,0.11,0,1,0
P9,1,45,30,13,8,0.19,0.11,0,1,0
P9,2,42,52,3,4,0.21,0.21,1,0,0
