Participant,Run,Epoch,Points_collected_epoch,Steps_epoch,Learning_increment_epoch
P1,1,1,54,9,0.2
P1,1,2,27,6,0.26
P1,1,3,44,5,0.21
P1,2,1,48,7,0.21
P1,2,2,46,5,0.21
P10,1,1,45,8,0.21
P10,1,2,45,5,0.21
P10,1,3,45,4,0.21
P10,2,1,54,4,0.31
P10,2,2,31,5,0.26
P10,2,3,44,4,0.31
P10,2,4,27,4,0.26
P2,1,1,48,7,0.21
P2,1,2,31,5,0.11
P2,1,3,37,6,0.11
P2,2,1,54,5,0.31
P2,2,2,33,4,0.21
P2,2,3,48,4,0.21
P3,1,1,54,8,0.31
P3,1,2,39,9,0.3
P3,1,3,27,6,0.26
P3,1,4,42,5,0.21
P3,2,1,54,7,0.31
P3,2,2,42,5,0.31
P3,2,3,48,8,0.21
P4,1,1,33,9,0.1
P4,1,2,33,7,0.11
P4,1,3,33,8,0.11
P4,2,1,54,7,0.31
P4,2,2,45,5,0.21
P4,2,3,45,6,0.21
P5,1,1,54,7,0.31
P5,1,2,34,4,0.21
P5,1,3,42,5,0.21
P5,2,1,54,7,0.31
P5,2,2,44,5,0.21
P6,1,1,31,7,0.21
P6,1,2,42,5,0.21
P6,1,3,37,4,0.21
P6,2,1,48,4,0.21
P6,2,2,27,3,0.26
P7,1,1,54,6,0.31
P7,1,2,49,7,0.31
P7,1,3,52,4,0.31
P7,2,1,54,3,0.31
P7,2,2,47,5,0.31
P7,2,3,42,4,0.31
P8,1,1,31,7,0.26
P8,1,2,30,8,0.11
P8,1,3,30,4,0.11
P8,2,1,48,4,0.21
P8,2,2,30,4,0.11
P8,2,3,37,3,0.11
P9,1,1,45,13,0.19
P9,1,2,42,7,0.21
P9,1,3,30,8,0.11
P9,2,1,42,3,0.21
P9,2,2,47,3,0.21
P9,2,3,52,4,0.21
