Participant,Run,Epochs,Avg_Points,Avg_Steps,Avg_Inc,Delta_Points,Delta_Steps,Delta_Inc
P1,1,3,41.666666666666664,6.666666666666667,0.22333333333333336,-10,-4,0.009999999999999981
P1,2,2,47.0,6.0,0.21,-2,-2,0.0
P10,1,3,45.0,5.666666666666667,0.21,0,-4,0.0
P10,2,4,39.0,4.25,0.28500000000000003,-27,0,-0.04999999999999999
P2,1,3,38.666666666666664,6.0,0.14333333333333334,-11,-1,-0.09999999999999999
P2,2,3,45.0,4.333333333333333,0.24333333333333332,-6,-1,-0.1
P3,1,4,40.5,7.0,0.27,-12,-3,-0.1
P3,2,3,48.0,6.666666666666667,0.27666666666666667,-6,1,-0.1
P4,1,3,33.0,8.0,0.10666666666666667,0,-1,0.009999999999999995
P4,2,3,48.0,6.0,0.24333333333333332,-9,-1,-0.1
P5,1,3,43.333333333333336,5.333333333333333,0.24333333333333332,-12,-2,-0.1
P5,2,2,49.0,6.0,0.26,-10,-2,-0.1
P6,1,3,36.666666666666664,5.333333333333333,0.21,6,-3,0.0
P6,2,2,37.5,3.5,0.235,-21,-1,0.05000000000000002
P7,1,3,51.666666666666664,5.666666666666667,0.31,-2,-2,0.0
P7,2,3,47.666666666666664,4.0,0.31,-12,1,0.0
P8,1,3,30.333333333333332,6.333333333333333,0.16,-1,-3,-0.15000000000000002
P8,2,3,38.333333333333336,3.6666666666666665,0.14333333333333334,-11,-1,-0.09999999999999999
P9,1,3,39.0,9.333333333333334,0.17,-15,-5,-0.08
P9,2,3,47.0,3.3333333333333335,0.21,10,1,0.0
