id,group,cs_background,nn_course,derivative_familiarity,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,pre_score,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,post_score,gain
1,Video,Yes,Yes,4,0,0,1,1,1,1,0,1,1,0,1,1,8,1,0,1,1,1,1,1,1,1,0,1,1,10,2
2,Video,Yes,Yes,3,0,1,0,1,1,0,0,1,0,1,1,1,7,1,1,1,1,1,1,1,1,0,0,1,1,10,3
3,Video,Yes,Yes,3,0,1,1,1,0,0,1,1,1,1,1,1,9,0,1,1,1,1,0,1,1,1,1,1,1,10,1
4,Video,Yes,No,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,8,7
5,Video,Yes,No,2,0,0,1,0,0,0,0,1,1,0,1,1,5,1,1,1,1,1,0,0,0,0,0,0,1,6,1
6,Video,Yes,Yes,4,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,12,0
7,Video,Yes,No,3,0,0,1,0,0,0,1,1,1,0,0,1,5,0,1,1,1,0,1,1,0,1,0,1,0,7,2
8,Video,Yes,No,5,1,1,0,1,1,1,1,1,0,1,1,1,10,1,0,1,0,0,1,0,0,1,0,1,1,6,-4
9,Video,No,No,4,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,1,0,0,1,1,1,0,1,5,1
10,Video,Yes,No,3,0,0,1,1,1,1,0,1,1,0,1,1,8,1,0,0,0,1,0,0,1,0,1,0,0,4,-4
